Alpha;Cl;Cd
-17,5;-1,1118;0,08608
-17,25;-1,1738;0,07238
-17;-1,2296;0,05928
-16,75;-1,2629;0,04931
-16,5;-1,279;0,04253
-16,25;-1,2852;0,03792
-16;-1,2869;0,03455
-15,75;-1,2853;0,03207
-15,5;-1,2815;0,03016
-15,25;-1,2755;0,02867
-15;-1,2674;0,02752
-14,75;-1,2667;0,02608
-14,5;-1,2585;0,02491
-14,25;-1,2429;0,02417
-14;-1,2251;0,02358
-13,75;-1,2068;0,02304
-13,5;-1,1881;0,02254
-13,25;-1,169;0,02212
-13;-1,1561;0,02124
-12,75;-1,1417;0,02051
-12,5;-1,1239;0,02009
-12,25;-1,1058;0,01971
-12;-1,0881;0,01933
-11,75;-1,0704;0,01896
-11,5;-1,0519;0,01868
-11,25;-1,0327;0,01847
-11;-1,0222;0,01737
-10,75;-1,0046;0,01696
-10,5;-0,9766;0,01657
-10,25;-0,9448;0,01617
-10;-0,9125;0,01582
-9,75;-0,8793;0,01556
-9,5;-0,8484;0,01474
-9,25;-0,8172;0,01411
-9;-0,7863;0,01373
-8,75;-0,7542;0,01336
-8,5;-0,7211;0,01301
-8,25;-0,687;0,01271
-8;-0,652;0,01227
-7,75;-0,6166;0,01161
-7,5;-0,585;0,01122
-7,25;-0,5532;0,01089
-7;-0,5207;0,01059
-6,75;-0,4884;0,01033
-6,5;-0,4627;0,00998
-6,25;-0,4342;0,00964
-6;-0,4073;0,00939
-5,75;-0,3804;0,00916
-5,5;-0,3538;0,00887
-5,25;-0,3274;0,0086
-5;-0,3006;0,00836
-4,75;-0,2737;0,00816
-4,5;-0,2465;0,00798
-4;-0,1918;0,00768
-3,75;-0,1645;0,00752
-3,5;-0,1372;0,00737
-3,25;-0,11;0,00719
-3;-0,0825;0,00704
-2,75;-0,0552;0,00689
-2,5;-0,0277;0,00678
-2,25;-0,0003;0,00666
-2;0,0272;0,00653
-1,75;0,0546;0,0064
-1,5;0,0819;0,00628
-1,25;0,1092;0,00616
-1;0,1362;0,00602
-0,75;0,1632;0,00589
-0,5;0,1903;0,0058
-0,25;0,2173;0,00573
0;0,2442;0,00568
0,25;0,2709;0,00563
0,5;0,2968;0,00556
0,75;0,3217;0,00548
1;0,3469;0,00547
1,25;0,3722;0,00552
1,5;0,3979;0,00559
1,75;0,425;0,00569
2;0,4549;0,00581
2,75;0,5582;0,00624
3;0,5945;0,00639
3,25;0,6318;0,00654
3,5;0,6686;0,00674
3,75;0,6918;0,00692
4;0,7153;0,00711
4,25;0,7389;0,0073
4,5;0,7624;0,00752
4,75;0,7858;0,00776
5;0,8089;0,00804
5,25;0,8319;0,00836
5,5;0,8552;0,00869
5,75;0,8784;0,00906
6;0,9016;0,00945
6,25;0,9251;0,00983
6,5;0,9483;0,01025
6,75;0,971;0,01073
7;0,9944;0,01114
7,25;1,0179;0,01153
7,5;1,0414;0,01194
7,75;1,0644;0,01238
8;1,0885;0,0127
8,25;1,1111;0,01317
8,5;1,1353;0,01347
8,75;1,1585;0,01385
9;1,1801;0,01435
9,25;1,2032;0,01471
9,5;1,2262;0,01506
9,75;1,2485;0,01545
10;1,2696;0,01591
10,25;1,2881;0,01655
10,5;1,309;0,01697
10,75;1,3299;0,01737
11;1,35;0,0178
11,25;1,3684;0,01825
11,5;1,3833;0,01884
11,75;1,3931;0,01974
12;1,4114;0,02015
12,25;1,4284;0,02066
12,5;1,4446;0,02122
12,75;1,4595;0,02187
13;1,4699;0,02284
13,25;1,4815;0,02375
13,5;1,4967;0,02445
13,75;1,5106;0,02526
14;1,5228;0,02622
14,25;1,5311;0,02751
14,5;1,5386;0,02893
14,75;1,5499;0,03008
15;1,5597;0,03141
15,25;1,5675;0,03297
15,5;1,5712;0,03497
15,75;1,5723;0,03733
16;1,5775;0,03935
16,25;1,5806;0,04166
16,5;1,582;0,04423
16,75;1,5815;0,04711
17;1,5784;0,0504
17,25;1,5716;0,05428
17,5;1,5603;0,05893
17,75;1,5483;0,0638
18;1,5415;0,06805
18,25;1,5328;0,07268
18,5;1,5214;0,07778
18,75;1,5083;0,08321
19;1,4942;0,08893
19,25;1,4781;0,09506
